,Date,Clop_norm,next_day_rt,stoke_name
1,2015-03-16,0.0,0.0029989462146984038,BHF
2,2015-03-17,0.0,0.003032966774175647,BHF
3,2015-03-18,0.0,0.003032966774175647,BHF
4,2015-03-19,0.0,0.003032966774175647,BHF
5,2015-03-20,0.0,0.003032966774175647,BHF
6,2015-03-23,0.0,0.003032966774175647,BHF
7,2015-03-24,0.0,0.003032966774175647,BHF
8,2015-04-15,0.0,0.003032966774175647,BHF
9,2015-04-16,0.0,0.003032966774175647,BHF
10,2015-04-17,0.0,0.0029989462146984038,BHF
11,2015-05-04,0.0,0.003032966774175647,BHF
12,2015-05-05,0.0,0.003032966774175647,BHF
13,2015-05-20,0.0,0.003032966774175647,BHF
14,2015-06-01,0.0,0.00296492565522116,BHF
15,2015-06-02,0.0,0.0029989462146984038,BHF
16,2015-06-03,0.0,0.0029989462146984038,BHF
17,2015-06-04,0.0,0.0029989462146984038,BHF
18,2015-06-05,0.0,0.0029989462146984038,BHF
19,2015-07-06,0.0,0.0030244616343063357,BHF
20,2015-07-07,0.0,0.0030244616343063357,BHF
21,2015-07-08,0.0,0.0030244616343063357,BHF
22,2015-07-09,0.0,0.0030244616343063357,BHF
23,2015-07-10,0.0,0.0030244616343063357,BHF
24,2015-07-27,0.0,0.0030244616343063357,BHF
25,2015-07-28,0.0,0.0030244616343063357,BHF
26,2015-09-14,0.0,0.0029904410748290925,BHF
27,2015-09-15,0.0,0.0029904410748290925,BHF
28,2015-09-16,0.0,0.0029904410748290925,BHF
29,2015-09-17,0.0,0.0029904410748290925,BHF
30,2015-09-18,0.0,0.0029904410748290925,BHF
31,2015-09-21,0.0,0.0029904410748290925,BHF
32,2015-09-22,0.0,0.0029904410748290925,BHF
33,2015-10-16,0.0,0.0029904410748290925,BHF
34,2015-10-19,0.0,0.0029904410748290925,BHF
35,2015-10-20,0.0,0.0029904410748290925,BHF
36,2015-10-21,0.0,0.0029904410748290925,BHF
37,2015-10-22,0.0,0.00296492565522116,BHF
38,2015-10-23,0.0,0.00296492565522116,BHF
39,2015-10-26,0.0,0.00296492565522116,BHF
40,2015-10-27,0.0,0.00296492565522116,BHF
41,2015-10-28,0.0,0.00296492565522116,BHF
42,2015-11-09,0.0,0.00296492565522116,BHF
43,2015-11-10,0.0,0.00296492565522116,BHF
44,2015-11-11,0.0,0.00296492565522116,BHF
45,2015-11-12,0.0,0.00296492565522116,BHF
46,2015-11-13,0.0,0.00296492565522116,BHF
47,2015-11-16,0.0,0.00296492565522116,BHF
48,2015-11-17,0.0,0.00296492565522116,BHF
49,2015-11-18,0.0,0.00296492565522116,BHF
50,2015-11-19,0.0,0.00296492565522116,BHF
51,2015-11-20,0.0,0.00296492565522116,BHF
52,2015-12-03,0.0,0.0029904410748290925,BHF
53,2015-12-04,0.0,0.0029904410748290925,BHF
54,2015-12-07,0.0,0.0029904410748290925,BHF
55,2015-12-08,0.0,0.0029904410748290925,BHF
56,2015-12-09,0.0,0.0029904410748290925,BHF
57,2015-12-10,0.0,0.0029904410748290925,BHF
58,2015-12-11,0.0,0.0029904410748290925,BHF
59,2015-12-18,0.0,0.0029564205153518493,BHF
60,2015-12-21,0.0,0.0029564205153518493,BHF
61,2015-12-22,0.0,0.0029564205153518493,BHF
62,2015-12-23,0.0,0.0029564205153518493,BHF
63,2015-12-24,0.0,0.0029564205153518493,BHF
64,2015-12-28,0.0,0.0029564205153518493,BHF
65,2015-12-29,0.0,0.0029564205153518493,BHF
0,2017-03-09,0.006483916718572267,0.00015417702506614894,PCLN
1,2017-03-10,-0.001650423401233704,-0.00026129517976257455,PCLN
2,2017-03-13,0.005759815025611848,0.00010791148903757652,PCLN
3,2017-03-14,0.0006051970198590632,-0.00015657144838428227,PCLN
4,2017-03-15,-0.002707639369509134,-0.0003264957300903523,PCLN
5,2017-03-16,0.001682653867871298,-0.00010464905485740167,PCLN
6,2017-03-17,-0.001183264509905944,-0.0002513646249152901,PCLN
7,2017-03-20,-0.004544718917394931,-0.00041943578338509563,PCLN
8,2017-03-21,-0.014029336907449239,-0.000894610424508703,PCLN
9,2017-03-22,0.002775950958916054,-3.434154498020703e-05,PCLN
10,2017-03-23,-0.0026355544249079617,-0.00030701752122378606,PCLN
11,2017-03-24,-0.0002794200540067443,-0.00019040700859662002,PCLN
12,2017-03-27,0.020737327188940093,0.0008568068749299357,PCLN
13,2017-03-28,0.011766993871859475,0.0004029577204152715,PCLN
0,2017-03-29,0.0032063175775598825,0.00021370338957103167,WYN
14,2017-03-29,-0.002670592803509803,-0.00033828337796791563,PCLN
1,2017-03-30,0.00841330736358933,0.0004988794231282076,WYN
15,2017-03-30,0.0004025602791483228,-0.0001813885383744468,PCLN
0,2017-03-31,-0.01018744864761823,0.0006512843208950609,COL
0,2017-03-31,-0.001644019728729886,0.0006258532262703023,GPS
0,2017-03-31,0.0031294509905408947,0.0004430123674004343,PX
0,2017-03-31,0.0,0.00026706290014115875,MON
0,2017-03-31,-0.0008181000018601846,0.0002666237436018252,TWX
0,2017-03-31,-0.004975086298319337,-4.2906153580896805e-06,LUK
0,2017-03-31,-0.004992511108524329,-5.823111858764833e-05,XL
